City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,chaibasa,22.5667,85.8167,14.47,63,96,0.88,IN,1732491831
314,isangel,-19.55,169.2667,27.06,78,75,10.29,VU,1732491831
315,sarnia,42.9787,-82.4041,6.05,85,100,2.06,CA,1732491724
316,maple ridge,49.2194,-122.6019,7.86,91,100,1.54,CA,1732491832
317,north bay,46.3168,-79.4663,-0.59,80,75,2.57,CA,1732491563
318,owen sound,44.5672,-80.9435,3.27,86,57,0.89,CA,1732491832
319,sarmiento,-45.5882,-69.07,16.46,32,48,7.51,AR,1732491832
320,lubang,13.8584,120.124,27.34,80,21,12.11,PH,1732491777
321,nuku'alofa,-21.1333,-175.2,29.19,74,20,5.14,TO,1732491832
322,bouca,6.5105,18.2733,21.42,43,77,0.86,CF,1732491833
323,al khawr,25.7667,51.3167,20.74,64,29,1.81,QA,1732491833
324,ivolginsk,51.7492,107.2837,-23.19,84,49,1.0,RU,1732491833
325,tofol,5.3248,163.0078,28.88,84,75,1.54,FM,1732491833
326,duyun,26.2667,107.5167,10.76,95,100,1.78,CN,1732491833
327,barcelos,41.5388,-8.6151,13.33,96,100,4.6,PT,1732491834
328,liwale,-9.7667,37.9333,20.42,94,27,1.18,TZ,1732491834
329,chabahar,25.2919,60.643,25.42,59,0,0.33,IR,1732491834
330,el amria,35.5244,-1.0158,18.78,38,7,2.61,DZ,1732491834
331,sinabang,2.4803,96.3801,25.16,90,100,2.96,ID,1732491834
332,paphos,34.7667,32.4167,10.88,37,0,3.09,CY,1732491834
333,saipan,15.1355,145.701,29.25,81,40,7.2,MP,1732491834
334,inarajan village,13.2736,144.7484,30.55,87,73,8.6,GU,1732491835
335,maamba,-17.3667,27.15,21.64,74,96,1.71,ZM,1732491835
336,casper,42.8666,-106.3131,-5.71,90,100,5.14,US,1732491835
337,sinop,41.7711,34.8709,-1.46,94,100,3.97,TR,1732491835
338,kapuskasing,49.4169,-82.4331,-4.95,100,100,2.57,CA,1732491835
339,georgetown,5.4112,100.3354,26.96,89,20,1.03,MY,1732491828
340,la libertad,-2.2333,-80.9,22.81,83,75,4.7,EC,1732491813
341,komatipoort,-25.4332,31.9548,21.21,86,14,0.92,ZA,1732491836
342,bastia,42.6667,9.3333,11.28,80,0,3.09,FR,1732491837
343,el fasher,13.6279,25.3494,18.96,27,1,2.81,SD,1732491837
344,belozersk,60.0326,37.7957,-4.08,94,25,3.67,RU,1732491837
345,vorkuta,67.5,64.0,-4.05,92,100,8.01,RU,1732491837
346,isla mujeres,21.2311,-86.731,24.03,68,17,5.06,MX,1732491837
347,vilyuchinsk,52.9306,158.4028,0.15,86,99,3.75,RU,1732491782
348,kitimat,54.0524,-128.6534,-0.61,52,15,2.68,CA,1732491837
349,quirihue,-36.2833,-72.5333,11.73,65,0,2.37,CL,1732491838
350,hashtpar,37.8008,48.9037,12.85,78,1,1.81,IR,1732491838
351,carbonear,47.7332,-53.2148,7.3,98,100,5.74,CA,1732491838
352,cabo san lucas,22.8909,-109.9124,30.17,30,0,6.69,MX,1732491838
353,fukuecho,32.6881,128.8419,13.2,62,40,7.2,JP,1732491838
354,pandan,14.0453,124.1694,27.46,84,45,5.91,PH,1732491838
355,aureilhan,43.2434,0.0958,19.39,45,0,6.17,FR,1732491838
356,villa ojo de agua,-29.5,-63.6938,27.29,59,87,4.57,AR,1732491839
357,lorengau,-2.0226,147.2712,28.82,77,95,1.48,PG,1732491839
358,pangkalpinang,-2.1333,106.1333,25.67,82,100,0.57,ID,1732491839
359,karratha,-20.7377,116.8463,29.52,44,73,4.46,AU,1732491823
